"Term/Year Code","Coll","Dept","Degree","Major code","Major Name","Conc code","Concentration Name (if any)","Total","Men","Women","Sex Unknown","Caucasian","Asian American","African American","Hispanic","Native American","Hawaiian/Pacific Isl","Multiracial","International","Race Unknown","All   African American","All    Native American","All Hawaiian/ Pac Isl","All Asian","URM","Illinois","Non-Illinois","Academic Program Code","programtype"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5136","Financial Planning",203,154,48,1,116,11,19,39,0,1,10,5,2,22,1,1,20,61,189,14,"10KL5136BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5316","Finance in Agri-Business",64,45,19,0,43,6,0,10,0,0,1,3,1,1,1,0,7,10,58,6,"10KL5316BS","Undergraduate"
"120251","KL","470","GCRT","6215","Agribus Sustainable Food Econ",NA,"None",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1PKS6215GCRU","Nondegree"
"120251","KL","470","MAAE","5870","Agricultural & Applied Econ",NA,"None",3,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,"1PKS5870MAAE","Graduate"
"120251","KL","470","MAAE","5870","Agricultural & Applied Econ","5869","BS ACE/MAAE AAE",3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"1PKS5869MAAE","Graduate"
"120251","KL","470","MS","5273","Agricultural & Applied Econ",NA,"None",16,10,6,0,6,0,1,2,0,0,0,7,0,1,0,0,0,3,9,7,"10KS5273MS","Graduate"
"120251","KL","470","PHD","5273","Agricultural & Applied Econ",NA,"None",59,29,30,0,5,3,0,3,0,0,0,48,0,0,0,0,3,3,3,56,"10KS5273PHD","Graduate"
"120251","KL","483","NDEG","0067","Nondegree",NA,"None",92,51,41,0,60,4,4,5,0,1,2,15,1,5,0,1,6,10,79,13,"10KL0067NDEG","Nondegree"
"120251","KL","483","none","5621","ACES Undeclared",NA,"None",77,39,38,0,34,7,13,16,0,0,2,4,1,13,1,0,11,29,71,6,"10KL5621NONE","Undergraduate"
"120251","KL","538","BS","0002","Animal Sciences","5268","Companion Animal & Equine Sci",75,8,67,0,34,6,5,24,0,0,1,3,2,8,2,1,6,30,70,5,"10KL0002BS","Undergraduate"
"120251","KL","538","BS","0002","Animal Sciences","5269","Science, Pre-Vet Med and Med",457,81,376,0,210,53,38,130,2,0,15,6,3,56,17,1,64,178,409,48,"10KL0002BS","Undergraduate"
"120251","KL","538","BS","0002","Animal Sciences","5588","Food Animal Prod & Mgmt",23,5,18,0,16,1,0,5,0,0,1,0,0,1,0,0,1,6,22,1,"10KL0002BS","Undergraduate"
"120251","KL","538","BS","5864","Computer Sci & Animal Sci",NA,"None",12,9,3,0,2,5,0,3,0,0,0,2,0,0,0,0,7,3,5,7,"10KL5864BS","Undergraduate"
"120251","KL","538","GCRT","6212","Dairy Nutrition for Udder Succ",NA,"None",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"1PKS6212GCRU","Nondegree"
"120251","KL","538","MANSC","0002","Animal Sciences",NA,"None",13,5,8,0,4,1,1,4,0,0,0,3,0,2,0,0,1,5,7,6,"1PKS0002MANS","Graduate"
"120251","KL","538","MANSC","0002","Animal Sciences",NA,"None",17,0,17,0,11,0,4,0,0,0,1,0,1,4,0,1,1,5,7,10,"1PKS0002MANU","Graduate"
"120251","KL","538","MS","0002","Animal Sciences",NA,"None",30,13,17,0,14,0,3,5,0,0,0,8,0,3,0,0,0,8,8,22,"10KS0002MS","Graduate"
"120251","KL","538","MS","4026","Bioinformatics","5099","Animal Science",2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"10KS5099MS","Graduate"
"120251","KL","538","NDEG","0002","Animal Sciences",NA,"None",15,3,12,0,10,2,0,0,0,0,0,0,3,0,0,0,2,0,1,14,"1PKS0002NDEU","Nondegree"
"120251","KL","538","PHD","0002","Animal Sciences",NA,"None",46,14,32,0,20,1,1,4,0,0,1,19,0,1,1,0,2,5,16,30,"10KS0002PHD","Graduate"
"120251","KL","698","BS","0037","Food Science & Human Nutrition","0038","Food Science",34,14,20,0,9,10,6,1,0,0,1,7,0,6,0,0,11,7,20,14,"10KL0038BS","Undergraduate"
"120251","KL","698","BS","0037","Food Science & Human Nutrition","0040","Human Nutrition",19,2,17,0,5,7,1,6,0,0,0,0,0,1,1,0,7,7,17,2,"10KL0040BS","Undergraduate"
"120251","KL","698","BS","0037","Food Science & Human Nutrition","0041","Dietetics",12,3,9,0,4,4,0,2,0,0,0,2,0,0,0,0,4,2,8,4,"10KL0041BS","Undergraduate"
"120251","KL","698","BS","0037","Food Science & Human Nutrition","0042","Hospitality Management",6,0,6,0,3,1,1,1,0,0,0,0,0,1,0,0,1,2,5,1,"10KL0042BS","Undergraduate"
"120251","KL","698","BS","0184","Food Science",NA,"None",55,16,39,0,21,14,1,7,0,0,4,8,0,1,0,0,19,8,45,10,"10KL0184BS","Undergraduate"
"120251","KL","698","BS","6139","Dietetics and Nutrition",NA,"None",58,8,50,0,31,11,1,10,0,0,2,3,0,1,1,0,13,11,50,8,"10KL6139BS","Undergraduate"
"120251","KL","698","BS","6143","Hospitality Management",NA,"None",48,12,36,0,20,11,4,8,0,1,1,2,1,4,0,1,12,13,40,8,"10KL6143BS","Undergraduate"
"120251","KL","698","BS","6144","Nutrition & Health",NA,"None",57,10,47,0,19,16,3,8,0,0,3,7,1,4,1,0,19,12,46,11,"10KL6144BS","Undergraduate"
"120251","KL","698","MS","0037","Food Science & Human Nutrition",NA,"None",42,10,32,0,17,10,4,6,0,0,2,0,3,5,0,0,12,11,17,25,"10KS0037MSU","Graduate"
"120251","KL","698","MS","0037","Food Science & Human Nutrition","0038","Food Science",26,8,18,0,7,2,0,0,0,0,0,17,0,0,0,0,2,0,4,22,"10KS0037MS","Graduate"
"120251","KL","698","MS","0037","Food Science & Human Nutrition","0040","Human Nutrition",2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,"10KS0037MS","Graduate"
"120251","KL","698","MS","0037","Food Science & Human Nutrition","5166","Professional Science Masters",5,3,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,4,"1PKS0037MS","Graduate"
"120251","KL","698","MS","0037","Food Science & Human Nutrition","6090","Clinical & Community Nutrition",23,4,19,0,17,0,1,1,0,0,0,4,0,1,0,0,0,2,17,6,"10KS0037MS","Graduate"
"120251","KL","698","MS","0037","Food Science & Human Nutrition","6090","Clinical & Community Nutrition",4,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,"10KS0037MSU","Graduate"
"120251","KL","698","NDEG","0037","Food Science & Human Nutrition",NA,"None",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"10KS0037NDEG","Nondegree"
"120251","KL","698","PHD","0037","Food Science & Human Nutrition","0038","Food Science",25,10,15,0,1,4,0,1,0,0,1,18,0,0,1,1,5,2,4,21,"10KS0037PHD","Graduate"
"120251","KL","698","PHD","0037","Food Science & Human Nutrition","0040","Human Nutrition",10,1,9,0,1,0,0,2,0,0,0,7,0,1,0,0,0,2,0,10,"10KS0037PHD","Graduate"
"120251","KL","741","BS","0025","Technical Systems Management",NA,"None",2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,"10KL0025BS","Undergraduate"
"120251","KL","741","BS","6028","Engr Tech & Mgmt for Ag Sys","6002","Ag Production & Processing",9,8,1,0,7,0,0,0,0,0,2,0,0,1,1,0,1,1,9,0,"10KL6028BS","Undergraduate"
"120251","KL","741","BS","6028","Engr Tech & Mgmt for Ag Sys","6003","Construction Management",100,82,18,0,46,6,9,32,0,0,1,4,2,11,4,0,7,42,93,7,"10KL6028BS","Undergraduate"
"120251","KL","741","BS","6028","Engr Tech & Mgmt for Ag Sys","6004","Digital & Precision Ag",33,27,6,0,21,2,4,5,0,0,0,1,0,4,2,0,3,9,31,2,"10KL6028BS","Undergraduate"
"120251","KL","741","BS","6028","Engr Tech & Mgmt for Ag Sys","6004","Digital & Precision Ag",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"10KL8037BS","Undergraduate"
"120251","KL","741","BS","6028","Engr Tech & Mgmt for Ag Sys","6005","Energy and the Environment",38,27,11,0,16,9,1,6,1,0,2,2,1,2,2,1,11,9,35,3,"10KL6028BS","Undergraduate"
